# height(cm),weight(kg)
188,82
188,98
183,95
183,95
185,85
175,80
175,95
180,91
193,105
180,82
185,85
185,82
188,84
188,73
175,82
178,84
183,89
185,86
190,84
198,99
201,104
193,93
188,104
193,88
183,82
180,87
190,102
196,92
188,88
185,83
188,85
198,91
185,82
190,91
185,91
190,111
190,109
188,98
175,84
180,79
188,90
185,91
185,98
193,91
188,93
188,93
178,84
183,85
196,100
188,95
178,88
193,111
190,88
185,91
190,91
193,96
193,102
198,95
188,93
188,100
193,88
196,91
206,118
198,103
190,122
196,91
190,95
193,86
188,100
183,82
183,93
190,95
185,100
185,96
185,91
178,82
178,86
178,77
193,104
173,70
180,84
183,84
190,91
190,102
190,102
190,100
173,73
188,93
198,107
180,113
185,95
193,86
188,73
188,91
201,93
190,101
185,88
193,93
188,100
188,100
185,77
183,84
188,88
185,100
188,104
183,82
185,100
175,82
183,82
185,77
190,95
190,98
185,91
183,97
183,82
193,87
188,107
183,84
193,104
196,107
188,95
196,101
190,95
193,104
203,100
188,82
188,86
190,91
198,95
185,88
185,82
188,86
190,109
193,91
180,90
185,91
188,88
193,95
193,100
188,86
185,95
188,102
178,82
183,84
185,77
185,84
185,84
185,82
180,81
188,79
188,91
183,92
188,96
180,86
188,95
190,109
185,86
190,86
190,84
201,132
185,79
190,84
193,91
188,100
193,77
198,100
188,86
193,100
183,93
188,91
193,113
188,102
190,98
198,95
190,98
183,88
188,91
183,88
188,100
178,82
180,82
178,77
190,88
180,82
180,77
185,93
183,93
180,91
185,102
183,91
190,102
178,102
188,106
188,82
190,102
185,82
196,100
185,82
193,108
190,98
188,86
193,107
190,86
185,82
180,75
193,88
190,91
183,86
180,86
196,84
185,84
188,93
180,86
183,93
188,93
190,100
185,94
183,77
190,88
190,95
188,86
183,96
188,104
180,77
178,84
190,104
188,84
196,109
196,102
190,95
190,79
198,104
190,91
193,98
185,90
190,102
190,126
201,98
196,104
193,109
180,84
190,99
188,77
175,99
180,86
193,102
183,100
183,80
178,86
183,89
185,92
180,76
183,82
180,88
185,100
183,98
185,84
188,86
188,93
183,93
185,91
190,91
188,95
188,98
196,91
190,93
185,96
183,86
180,94
188,91
196,95
190,105
190,104
190,95
198,100
198,95
188,92
193,96
198,102
193,77
178,86
183,91
203,108
188,100
188,77
180,88
178,86
183,68
180,100
188,91
180,86
183,84
180,84
188,91
175,78
193,100
190,102
190,86
193,88
185,99
193,86
185,89
196,91
185,88
183,95
183,80
196,100
196,107
180,82
188,88
188,88
185,86
198,104
190,86
185,91
178,86
188,86
183,91
185,91
185,84
190,91
190,82
188,99
193,85
185,91
188,100
190,93
185,93
190,86
183,77
185,73
185,98
183,79
188,93
198,91
193,97
185,91
188,86
190,82
178,93
190,100
180,86
183,98
198,107
190,87
185,91
185,82
180,91
190,95
196,109
183,84
175,75
185,86
188,84
183,79
178,70
190,95
178,77
183,79
183,100
188,95
185,93
188,91
190,102
193,93
190,88
203,109
183,68
190,91
185,98
188,92
188,91
185,86
190,93
190,86
180,73
185,98
190,84
188,91
188,86
183,95
188,84
188,100
188,86
185,92
193,93
190,100
183,79
185,73
185,86
185,91
183,104
183,93
183,100
183,82
180,88
190,79
196,113
190,85
188,104
185,86
190,91
201,86
188,99
193,107
185,82
188,82
188,82
183,91
188,106
188,84
190,100
198,101
188,91
188,95
188,91
196,95
178,86
185,80
188,103
185,82
180,88
190,90
180,79
183,84
196,109
188,95
178,82
196,88
185,102
196,125
188,88
183,82
193,93
180,88
193,104
198,104
190,100
185,91
198,113
188,86
201,94
190,111
193,113
183,73
190,87
190,100
178,77
183,89
178,70
188,86
180,91
193,100
185,95
193,103
180,86
175,73
183,84
183,82
175,82
185,91
175,80
185,73
188,101
188,96
183,88
180,91
188,95
185,102
183,79
183,93
193,109
193,84
193,118
188,84
193,100
190,93
180,91
183,77
180,91
185,93
190,84
193,93
190,111
180,100
190,95
188,100
183,84
185,79
185,77
185,82
185,91
193,95
183,79
193,100
185,93
185,82
185,95
190,88
190,91
196,91
185,74
183,82
190,100
178,88
188,93
183,77
203,109
180,95
180,88
188,91
188,93
185,87
190,86
193,77
185,109
196,91
183,93
185,79
196,113
193,100
180,102
190,95
185,88
188,82
196,111
180,79
183,82
185,98
175,79
185,82
178,88
188,104
193,104
185,93
185,98
190,88
185,82
201,93
188,82
185,86
188,82
196,86
190,86
188,100
185,95
196,116
185,86
196,104
188,91
188,93
185,95
196,102
188,98
196,100
190,93
196,91
190,100
180,89
188,102
178,85
201,111
183,84
183,84
178,79
188,91
188,82
183,85
185,102
183,91
188,95
188,111
193,97
208,105
188,75
188,103
178,95
185,113
185,87
188,86
196,91
183,98
193,115
185,105
185,82
183,98
188,100
188,82
180,91
183,77
190,88
188,95
188,91
196,100
178,75
180,82
185,91
193,91
180,77
190,102
188,100
183,82
193,90
201,109
193,108
185,84
193,95
198,100
190,91
193,88
183,100
183,104
185,77
185,100
190,104
180,75
193,93
178,87
190,95
188,93
190,91
185,95
180,84
180,88
183,92
185,93
185,88
183,82
175,91
185,84
198,109
180,84
185,100
190,93
193,93
178,82
188,91
196,86
190,94
201,109
183,82
196,104
185,88
190,98
190,86
190,88
185,98
185,98
193,100
196,100
190,104
178,88
180,86
180,88
190,95
188,92
175,77
178,84
190,93
183,79
190,95
185,86
183,82
183,82
183,73
193,107
190,91
188,95
190,102
175,82
185,86
183,89
183,92
190,93
196,77
193,91
203,113
196,91
193,100
201,91
180,86
190,77
185,86
193,100
196,98
185,93
193,98
178,84
190,107
185,85
190,104
178,88
175,76
180,86
183,73
183,91
185,91
178,86
178,82
185,86
193,91
190,100
183,85
185,109
201,86
180,82
183,84
188,95
188,100
188,99
183,86
193,88
193,79
183,82
183,98
180,95
183,91
183,86
178,84
196,100
188,77
183,88
193,93
180,88
193,95
180,86
185,86
178,82
185,100
185,86
183,84
180,84
180,86
180,82
183,86
183,77
188,95
188,109
188,100
180,82
183,95
190,95
183,88
180,73
183,82
183,93
183,91
183,84
188,111
188,86
196,95
190,91
185,91
190,101
185,98
193,109
183,77
196,100
190,71
183,86
180,92
180,100
190,91
183,86
185,95
185,86
180,91
178,75
190,86
180,84
193,104
185,94
173,95
180,79
183,82
188,91
196,93
183,91
193,113
198,95
206,104
183,111
185,92
193,109
183,91
183,98
188,80
193,95
185,77
193,98
190,98
178,90
180,91
188,100
183,77
185,91
